timestamp,Cumulative power (kwh)
1636329600,17903
1637280000,17949
1638835200,18039
1639785600,18110
1639958400,18129
1640131200,18147
1640390400,18172
1640476800,18182
1640563200,18192
1640822400,18215
1640995200,18227
1641081600,18232
1641600000,18282
1641772800,18297
1642032000,18322
1642204800,18335
1643414400,18450
1643846400,18485
1644019200,18505
1644537600,18554
1644969600,18592
1645228800,18685
1646092800,18701
1646265600,18715
1646611200,18746
1646956800,18779
1647129600,18795
1647648000,18854
1647734400,18864
1648252800,18906
1648857600,18966
1649030400,18991
1649462400,19043
1649980800,19096
1650067200,19106
1650672000,19174
1651881600,19301
1652486400,19340
1653091200,19385
1653264000,19403
1653696000,19447
1654560000,19537
1654905600,19569
1655078400,19593
1655942400,19662
1656374400,19700
1656720000,19726
1656979200,19745
1657411200,19766
1658188800,19818
1658620800,19847
1659052800,19885
1659657600,19924
1661644800,20071
1661817600,20084
